ID;Nimi;Osoite;x;y
223;Hämeenlinnanväylä;Teuvo Pakkalan tie 2;24.9028322456731;60.2274510674778
224;Vesakkotie;Männikkötie 11;24.9266153826484;60.2279595153713
225;Maunula;Maunulanmäki 2;24.9325030021006;60.2303828796011
226;Lepolantie;Lepolantie 61;24.9286046557082;60.2390854029504
227;Kylävoudintie;Kylävoudintie 6;24.9525612440734;60.2244037765729
228;Kustaankartano;Maapadontie 3;24.9487651621964;60.2307028618145
229;Käskynhaltijantie;Hirsipadontie 2;24.957934116941;60.2332319429452
230;Mäkitorpantie;Kylänvanhimmantie 29;24.9603356197765;60.2285300629765
231;Siltavoudintie;Käskynhaltijantie 22;24.9649692401006;60.2337172192606
232;Oulunkylän asema;Oulunkyläntori 2;24.9667185624345;60.2291001546027
233;Kirkkoherrantie;Kirkkoherrantie 5;24.9728193757834;60.2249303574235
234;Otto Brandtin tie;Tulvaniityntie 2;24.9781389181685;60.2317840575086
235;Katariina Saksilaisen katu;Katariina Saksilaisen katu 6;24.9844208812225;60.2172068185826
236;Hernepellontie;Harjannetie 44;24.9886129703087;60.2242412608413
237;Aulangontie;Harjannetie 2;24.9985804201601;60.2302596315427
238;Pihlajamäki;Meripihkatie 3;25.0103139042596;60.2345785634218
239;Viikin tiedepuisto;Viikintori;25.0100484016428;60.2275394155784
240;Viikin normaalikoulu;Kevättori;25.0275940265593;60.2274649666156
241;Agronominkatu;Latokartanontori;25.0328574018929;60.2340530021105
242;Von Daehnin katu;Von Daehnin katu 14;25.0436178847114;60.2303443513437
243;Mustikkamaa;Mustikkamaantie 8;24.992105405271;60.181844391759
244;Relanderinaukio;Ståhlbergintie 6;25.0058079125449;60.1858547331594
245;Kulosaari (M);Ukko-Pekan porras;25.0064636871854;60.1889293103178
246;Tupasaarentie;Risto Rytin tie 30;25.0153289779219;60.1878871226314
247;Haakoninlahdenkatu;Koirasaarentie 33;25.0208609553502;60.1688685506822
248;Gunillantie;Koirasaarentie 32;25.0330122371046;60.1719938510831
249;Isosaarentie;Köökarinkuja 3;25.0450147987503;60.1755054994249
250;Reiherintie;Laajasalontie 13;25.0474962642387;60.1677304952092
251;Laajasalon ostoskeskus;Yliskylän puistokatu 4;25.0519120121374;60.1800091502319
252;Humalniementie;Ryytikuja 2;25.0530603555751;60.1837062881609
253;Tammisalon aukio;Väylänrinne 1;25.0610604378889;60.1916636460758
254;Agnetankuja;Laivalahdenkaari 24;25.0365006704009;60.1872113457581
255;Laivalahden puistotie;Laivalahden puistotie 10;25.0313242435422;60.1879616899796
256;Herttoniemenranta;Paasivaarankatu 1;25.0261074895481;60.1902241178364
257;Margareetankuja;Margareetankuja 4;25.0372267110383;60.1910267485051
258;Abraham Wetterin tie;Sorvaajankatu 1;25.0426533906378;60.1927661994999
259;Petter Wetterin tie;Hitsaajankatu 16;25.0310806077186;60.1931499986426
260;Herttoniemi (M);Hiihtäjäntie 2;25.0289074357313;60.1946246004701
261;Asentajanpuisto;Asentajankatu 8;25.0424582865295;60.1991534842401
262;Siilitie (M);Siilitie 2;25.0451499077688;60.2059412826664
